source,text,label,language
twitter,¡Vive la Magia de la Navidad!  Festival #LucesdeEsperanza 2022 en #PlazadeArmas #Cuernavaca con grandes sorpresas y momentos mágicos para compartir en familia del 01 de diciembre al 06 de enero.  Acceso gratuito.  🌐 https://t.co/LdzXkw8L06 ☎️ 777 176 0229 📱 55 1608 6449 https://t.co/ZD4Zb6cLgo,benign,es
twitter,😎#ArgentinaVsFrance #WorldCup https://t.co/FVzW6Abq7B,benign,en
twitter,"🚨BOHEMIAN #2684/5000 SOLD!!! =&gt; Price 4,6 $SOL ($54.33 💵)  💎RANK M: ⍜2678  💎RANK HR: 2377 🧹FP: 4,4 $SOL   👥Holders: 2149     SATTONFT MINT NOW 🛒=&gt; https://t.co/4W4E4uZePw  #NFT #Solana #APTOS #APTOSNFT https://t.co/2giDvauQCC",benign,en
twitter,"Combi #nba 1,97 https://t.co/5N3XjcSdIZ",benign,en
twitter,Slid in my Dm with 5Dia Polygon and 2 or 1 matric polygon for fee with ongoing registrations on metaforce dollar investment no time asap🤗 #ArgentinaVsFrance @thompsonb2569 #FIFAWorldCupFinal @CoinMarketCap @KAYBIGANSHOW #Messi𓃵 #其實點只用要位善 https://t.co/fKCVluKZkM,benign,en
twitter,"Privacy Coins Take a Beating This Year Losing Over $6 Billion, Anonymity Takes a Back Seat to Defi, NFTs – Altcoins Bitcoin News -    https://t.co/LAeYOXaM1d   #Crypto #CryptoNews #CryptoTrends #NFT #NFTNews #NFTRelease #NFTDrop #AltCoin #AirDrop #NFTProject #NFTArtist #NFT...",benign,en
twitter,🟢 2x PUMP #RLC from 1.15 to 1.27 #USDT = 10.35 %   Cryptocurrency Change Value 4h (1.22) = 1.64% 24h (1.2) = 3.33% 7d (1.16) = 6.9% 30d (1.25) = -0.8% 90d (1.22) = 1.64% 360d (3.4) = -63.53%   #iexec #iEx_ec #token #pump #iExecRLC #RLCUSDT #Binance https://t.co/ibQBrq4dta,benign,en
twitter,180527 Day Day UP weibo update #王一博 #WangYibo王一博 #WangYibo #왕이보 #ワンイーボー #VươngNhấtBác #หวังอี้ป๋อ #ВанИбо #ဝမ်ရိပေါ် https://t.co/6IQ28CMV2p,benign,ja
twitter,"Dogecoin - DOGE Price: $0.08 Change in 1h: +0.3370451% Market cap: $10,267,238,528.83 Ranking: 8 #Dogecoin #DOGE",benign,en
twitter,【洛杉矶华人抗议习近平】 【声援四通桥示威者 #彭载舟】  洛杉矶中国领事馆前，一群中国海外民主人士聚集抗议，声援北京四通桥悬挂布条的彭立发(彭载舟)，抗议习近平独裁。  评：终于喊出消灭共产党   https://t.co/yvjAxWJdhG,benign,zh
twitter,"THE LEROUX PHANTASMS  Spunky musicians hailing from Luxumbra. They are fourth in overall rank and have earned the reputation of being cool #activists, taking stands in ways that matter.  Their captain, Caleb Louis Cameron, used to be a starving #artist from the slums. #art #music https://t.co/UZJgLqJa93",benign,en
twitter,Hazen W,benign,en
twitter,"@nan_ctmcy94 @marktuan @dnaofficial Have a good day too ka P'nan 😍🫶🏻  ""Carry Me Out"" March 31, 2023  Carry Me Out By Mark Tuan #CarryMeOut_MarkTuan #MarkTuan #CarryMeOut #마크투안 #段宜恩 @marktuan @dnaofficial",benign,en
twitter,🗞️ข่าวกรมทหารราบที่ 13 ประจำวันที่ 14 มกราคม 2566 📰  https://t.co/iDTcxHJj1e  #กรมทหารราบที่13 #กองพลทหารราบที่3 #กองทัพภาคที่2 #3INFDIV #ARMYSTRONG #ศูนย์ประชาสัมพันธ์กองทัพบกArmyPRCenter https://t.co/6OQPFE5q5N,benign,th
twitter,🆕イベント公開   1月25日バトルZAライブ   🗓1月25日(水) 🎤ZAZAPOCKE… ⏰開場 18:20 / 開演 18:30   TIGETにてチケット受付🎟 https://t.co/SrWn6dRwk6,benign,ja
twitter,Ende  #Futsal Herren #UefaFutsalChampionsLeague Vorrunde  15:0 #Helvecia vs Europa  4:0 #PiastGliwice vs TechnionHaifa  4:2 #Stuttgarter vs Sisli  13:0 #Differdange vs BelfastUnited  10:4 #Gentofte vs AmigoNorthwest  17:0 #KaDy vs IsbyörninnKopavogur  7:2 #Petrow vs Yerevan,benign,en
twitter,バッシング❗ 大いに結構‼️👍 日本では非合法なんだよ😳 所持してて捕まって… 可哀想…は、無いだろ？(笑)😝 どーせ執行猶予つくんだし❗👍  大麻―薬物規制の功罪  専門家「薬理作用よりも、刑罰やバッシングが人生を台無しにしている」 https://t.co/y9K9Jkeice @nonbeepandaから,benign,ja
twitter,"Pina Zangaro Machina Screwpost Binder, 8 5x11 Landscape Orientation (34342) LKDRUKO   https://t.co/K0q7QEIkPO https://t.co/Cyr6YkN1TK",benign,en
twitter,"@PresidencyZA @CyrilRamaphosa No SABC board, no Electoral Act, no electricity minister, no cabinet reshuffle, no deputy president, hosting a dictator in PTA, accepting R30m from a sanctioned Russian oligarch… MR PRESIDENT WTF ARE YOU DOING?",benign,en
twitter,@thecabellguy @Gage_Knows It’s pretty ironic coming from a “man” who sounds like Mickey Mouse’s forgotten stepbrother,benign,en
twitter,Today we have the Independence and Gasparilla Bowl Games‼️🏈   ➡️ Louisiana vs Houston -7   ➡️ Wake Forest vs Missouri +2.5   Who do you like in each game? 🤔,benign,en
